course_id,skill_id,is_primary
advanced-sql,sql,true
cs224n-nlp-with-deep-learning,nlp,true
cs224n-nlp-with-deep-learning,neural_nets,false
cs231n-convolutional-neural-networks,computer_vision,true
cs231n-convolutional-neural-networks,neural_nets,false
cs50-s-introduction-to-programming-with-python,python,true
computer-vision,computer_vision,true
data-cleaning,data_manip,true
data-visualization,dataviz,true
data-visualization-with-python,dataviz,true
data-visualization-with-python,python,false
deep-learning-specialization,deep_learning,true
deep-learning-specialization,neural_nets,false
docker-for-beginners,deploy_devops,true
feature-engineering,feat_eng,true
feature-engineering,data_manip,false
git-and-github-for-beginners,git,true
hugging-face-nlp-course,nlp,true
hugging-face-nlp-course,neural_nets,false
intermediate-machine-learning,feat_eng,true
intermediate-machine-learning,ml_fund,false
intro-to-deep-learning,deep_learning,true
intro-to-deep-learning,neural_nets,false
intro-to-machine-learning,ml_fund,true
intro-to-sql,sql,true
learn-git-branching,git,true
mlops-specialization,mlops,true
mlops-specialization,deep_learning,false
machine-learning-project-titanic-house-prices,ml_fund,true
machine-learning-project-titanic-house-prices,data_manip,false
machine-learning-specialization,ml_fund,true
machine-learning-specialization,stats,false
machine-learning-specialization,data_manip,false
made-with-ml-mlops-course,mlops,true
made-with-ml-mlops-course,ml_fund,false
neural-networks-zero-to-hero,neural_nets,true
neural-networks-zero-to-hero,deep_learning,false
numpy-fundamentals,data_manip,true
numpy-fundamentals,python,false
pandas-micro-course,data_manip,true
practical-deep-learning-for-coders,deep_learning,true
practical-deep-learning-for-coders,neural_nets,false
python-for-everybody,python,true
relational-database-certification,db_web,true
relational-database-certification,sql,false
sql-for-data-science,sql,true
statistics-and-probability,stats,true
statistics-with-python,stats,true
statistics-with-python,python,false
freecodecamp-scientific-computing-with-python,python,true
freecodecamp-scientific-computing-with-python,data_manip,false
back-end-development-and-apis,node_express,true
back-end-development-and-apis,rest_api,false
build-a-rest-api-project,rest_api,true
build-a-rest-api-project,node_express,false
css-flexbox-and-grid,html_css,true
deploying-full-stack-apps,deploy_devops,true
eloquent-javascript,js_fund,true
front-end-development-libraries,react,true
front-end-development-libraries,js_fund,false
full-stack-next-js-project,nextjs,true
full-stack-next-js-project,react,false
full-stack-next-js-project,rest_api,false
jwt-authentication-crash-course,auth_security,true
jwt-authentication-crash-course,rest_api,false
javascript-algorithms-and-data-structures,js_fund,true
mongodb-basics,db_web,true
next-js-official-learn-course,nextjs,true
next-js-official-learn-course,react,false
node-js-and-express-js-course,node_express,true
rest-api-design-best-practices,rest_api,true
react-official-tutorial,react,true
responsive-web-design-certification,html_css,true
web-security-fundamentals,auth_security,true
