id,title,description,skills,difficulty,duration_hours,resource_type,domain,is_mvp,source,url,learning_outcomes
advanced-sql,Advanced SQL,Intermediate SQL practice focused on more advanced querying patterns and analysis.,sql,intermediate,4,course,ml,true,Kaggle Learn,https://www.kaggle.com/learn/advanced-sql,SQL & Databases
cs224n-nlp-with-deep-learning,CS224n: NLP with Deep Learning,Advanced natural language processing and deep learning concepts for language tasks.,nlp|neural_nets,advanced,40,course,ml,true,Stanford (CS224n),https://web.stanford.edu/class/cs224n/,Natural Language Processing; Neural Network Architectures
cs231n-convolutional-neural-networks,CS231n: Convolutional Neural Networks,Advanced study of convolutional neural networks and computer vision systems.,computer_vision|neural_nets,advanced,40,course,ml,true,Stanford (CS231n),http://cs231n.stanford.edu/,Computer Vision; Neural Network Architectures
cs50-s-introduction-to-programming-with-python,CS50's Introduction to Programming with Python,A practical Python programming foundation covering core programming concepts and problem solving.,python,beginner,15,course,ml,true,edX (Harvard),https://cs50.harvard.edu/python/,Python Programming
computer-vision,Computer Vision,Practical introduction to computer vision concepts and model-driven image tasks.,computer_vision,intermediate,5,course,ml,true,Kaggle Learn,https://www.kaggle.com/learn/computer-vision,Computer Vision
data-cleaning,Data Cleaning,Practical techniques for preparing messy datasets for analysis and modeling.,data_manip,intermediate,4,course,ml,true,Kaggle Learn,https://www.kaggle.com/learn/data-cleaning,Data Manipulation (Pandas/NumPy)
data-visualization,Data Visualization,Beginner-level practice for communicating data through clear visualizations.,dataviz,beginner,5,course,ml,true,Kaggle Learn,https://www.kaggle.com/learn/data-visualization,Data Visualization
data-visualization-with-python,Data Visualization with Python,Applied data visualization using Python-based tools and workflows.,dataviz|python,intermediate,8,course,ml,true,Coursera (IBM),https://www.coursera.org/learn/python-for-data-visualization,Data Visualization; Python Programming
deep-learning-specialization,Deep Learning Specialization,Advanced deep learning study covering neural networks and modern deep learning workflows.,deep_learning|neural_nets,advanced,60,course,ml,true,Coursera (DeepLearning.AI),https://www.coursera.org/specializations/deep-learning,Deep Learning; Neural Network Architectures
docker-for-beginners,Docker for Beginners,Beginner containerization concepts for packaging and running applications consistently.,deploy_devops,beginner,6,course,ml,true,freeCodeCamp,https://www.freecodecamp.org/news/tag/docker/,Deployment & DevOps Basics
feature-engineering,Feature Engineering,Practical techniques for transforming raw variables into more useful model features.,feat_eng|data_manip,intermediate,5,course,ml,true,Kaggle Learn,https://www.kaggle.com/learn/feature-engineering,Feature Engineering; Data Manipulation (Pandas/NumPy)
git-and-github-for-beginners,Git and GitHub for Beginners,A practical introduction to version control and collaborative software workflows with Git and GitHub.,git,beginner,4,course,ml,true,freeCodeCamp,https://www.freecodecamp.org/news/git-and-github-for-beginners/,Git & Version Control
hugging-face-nlp-course,Hugging Face NLP Course,Hands-on natural language processing with modern transformer-based workflows.,nlp|neural_nets,intermediate,25,course,ml,true,Hugging Face,https://huggingface.co/learn/nlp-course,Natural Language Processing; Neural Network Architectures
