course_id,prerequisite_skills
advanced-sql,
cs224n-nlp-with-deep-learning,deep_learning
cs231n-convolutional-neural-networks,deep_learning
cs50-s-introduction-to-programming-with-python,
computer-vision,neural_nets
data-cleaning,python
data-visualization,data_manip
data-visualization-with-python,data_manip
deep-learning-specialization,ml_fund
docker-for-beginners,rest_api|git|deep_learning
feature-engineering,ml_fund|python
git-and-github-for-beginners,
hugging-face-nlp-course,deep_learning
intermediate-machine-learning,python|stats|data_manip
intro-to-deep-learning,ml_fund
intro-to-machine-learning,python|stats|data_manip
intro-to-sql,
learn-git-branching,
mlops-specialization,git|ml_fund
machine-learning-project-titanic-house-prices,python|stats
machine-learning-specialization,python
made-with-ml-mlops-course,deep_learning|git|python|stats|data_manip
neural-networks-zero-to-hero,ml_fund
numpy-fundamentals,
pandas-micro-course,python
practical-deep-learning-for-coders,ml_fund
python-for-everybody,
relational-database-certification,rest_api
sql-for-data-science,
statistics-and-probability,
statistics-with-python,
freecodecamp-scientific-computing-with-python,
back-end-development-and-apis,js_fund
build-a-rest-api-project,js_fund
css-flexbox-and-grid,
deploying-full-stack-apps,rest_api|git
eloquent-javascript,html_css
front-end-development-libraries,html_css
full-stack-next-js-project,js_fund|node_express
jwt-authentication-crash-course,node_express
javascript-algorithms-and-data-structures,html_css
mongodb-basics,rest_api
next-js-official-learn-course,js_fund
node-js-and-express-js-course,js_fund
rest-api-design-best-practices,node_express
react-official-tutorial,js_fund
responsive-web-design-certification,
web-security-fundamentals,rest_api
